,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SOCS3,180976.923813598,6.36919451559793,0.276361121029904,23.0466372833563,1.5896687887865402e-117,2.3706730647173702e-113
LOC100506860,813.454961427778,5.31976837858205,0.250281081091275,21.2551758022893,2.95254344330782e-100,2.2015640185024698e-96
CDK2,916.013268288045,3.03568594432941,0.166822143344891,18.1971402804326,5.43732080693792e-74,2.70289217312884e-70
OSM,59086.9221896857,3.24144968905106,0.183352445513159,17.6787916843925,6.1091481248431e-70,2.27764314964463e-66
PDE4B,210479.624635389,3.28197369249416,0.206140881863398,15.9210228598372,4.5291176459057997e-57,1.35085462906786e-53
HCAR2,117809.200137172,3.31223344020611,0.211583017455807,15.6545335255838,3.0937331669279898e-55,7.68947378639952e-52
ZNF155,421.560306466166,3.42736986373837,0.229616002252102,14.9265287703048,2.215002703449e-50,4.71890504521927e-47
IL1RN,231523.983057724,3.25344301262822,0.219990450163279,14.7890192970353,1.7244813103168498e-49,3.2146487225944002e-46
EGR2,1914.71097773752,4.05393059376402,0.278823171799831,14.5394321698426,6.81556511167743e-48,1.12933913900495e-44
HCAR3,167334.844333616,3.47432601318172,0.251601889185116,13.8088232343339,2.25484917642456e-43,3.3626565768019397e-40
NFKBIZ,60696.3788881226,2.4742779475492,0.179653454302098,13.7725041645375,3.7305428884035796e-43,5.0575987358875e-40
ECHDC1,3470.68906697833,3.44668372982302,0.252264982342265,13.6629495612937,1.6899728811060498e-42,2.10021379799455e-39
SYN2,452.727953784332,3.97086864083277,0.29181249692766,13.6076031103533,3.6088644601175395e-42,4.1399227456717603e-39
ZFP36,228125.826255964,3.15129438316516,0.239465990464752,13.1596740608099,1.4973038586743e-39,1.5949494603149897e-36
EIF3I,1669.62069221682,1.23504789317486,0.096237860087846,12.8332850714626,1.06740413637579e-37,1.06121319238481e-34
EXOSC4,627.332611112104,2.76913087960232,0.217207801473154,12.7487634459786,3.1672931181650996e-37,2.95211514194976e-34
C1orf74,1148.97144874461,-3.3152529877587,0.261788835332374,-12.6638440617591,9.37917439816442e-37,8.22774281175447e-34
ADPGK-AS1,556.93594075949,3.7646627692937,0.312239628629821,12.0569665862527,1.78227020360402e-33,1.4766108636859298e-30
TNFRSF10D,978.683786026998,3.29539549367167,0.287372302146664,11.4673386024163,1.9248847728554397e-30,1.51083192724175e-27
SERTAD1,1334.66029403045,2.92037170437508,0.255888133256817,11.4126890809904,3.6138153122158e-30,2.69464138755371e-27
ICAM1,130172.537358869,3.0116030896036,0.273194225743215,11.0236703627635,2.93828504029658e-28,2.0866021336163302e-25
PLEK,223262.454634321,2.47581252602195,0.225742325191546,10.967427237764,5.48097987247548e-28,3.7153569471921304e-25
FLJ32255,2356.65202128968,1.97358432966837,0.181069010452052,10.8996250917877,1.15733158994484e-27,7.50403739167278e-25
POU5F1P3,717.101626461017,3.20833503589935,0.296013560436818,10.8384731806371,2.26214829007254e-27,1.40564239374382e-24
LOC81691,264.687117187795,5.0320311936282,0.46564192018896,10.8066541594584,3.20134231554583e-27,1.9096647180694e-24
LOC731424,23763.158620493,3.09803565507712,0.286938479283043,10.7968637138456,3.56162070108449e-27,2.04286344289511e-24
LINC01262,170.365218365883,4.25353275512937,0.40275435762829,10.561109208544,4.51297174079518e-26,2.49266472483254e-23
MIR3945,675.164064272391,2.68456677918172,0.255439140049975,10.5096140656303,7.801213580190001e-26,4.15498207576334e-23
LOC100507144,152.389459728415,5.39904873105594,0.519481014393258,10.3931589056472,2.6638155168632203e-25,1.3698441656200399e-22
SCNN1A,137.974423136531,3.52022091139942,0.345360487309767,10.1928884187669,2.13329910725028e-24,1.0604629862141201e-21
TP53INP2,55322.1922228187,2.36666428226523,0.232556986091561,10.1767068882353,2.5194353574034202e-24,1.2120109511276501e-21
IDI2-AS1,158.204554027701,3.10839589862379,0.306175237397766,10.1523425768934,3.23503306960222e-24,1.50762650521806e-21
SPTA1,94.5701171561216,6.17912079690667,0.609977400767616,10.1300815229067,4.06310548245019e-24,1.83615430484181e-21
LOC101928674,412.312469082661,3.30818108578979,0.329491912867061,10.040249719648,1.01417082645418e-23,4.44833221615035e-21
LSMEM1,2702.79300779519,-3.25739255079447,0.326877608793684,-9.96517492530499,2.16492423911614e-23,9.224432907982571e-21
