,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL1RN,231523.983057724,6.77322656926053,0.217402658748896,31.1552149740898,4.3107597642299597e-213,7.31622147185109e-209
NFKBIA,120420.404741468,3.8885106699615,0.136717600910623,28.441917090862,6.13453881972873e-178,5.205769642421801e-174
SOCS3,180976.923813598,7.39009670222414,0.273183032817964,27.0518144044054,3.63628079599671e-161,2.0571652556552e-157
OSM,59086.9221896857,4.76789598052209,0.181208737079706,26.3116230340753,1.4119043257313001e-152,5.9907100540779e-149
TNFAIP3,205719.242112942,5.31723248825636,0.214996565056926,24.7317090245068,4.87815027278442e-135,1.65583932859394e-131
KCNJ2,23889.3597738935,4.00697099145319,0.16384416684079,24.4559880813263,4.34586259942061e-132,1.22929966728944e-128
NFKBIZ,60696.3788881226,4.33637559041743,0.177549344925524,24.4234952949918,9.627895461305061e-132,2.33435202527528e-128
PRDM7,530.382954794414,4.61371096355701,0.191127031082175,24.1394999829895,9.62532479450973e-129,2.04201265515524e-125
LOC100130476,1308.97057161869,6.85335155130211,0.285642943954532,23.9927213199182,3.31247982194259e-127,6.24660083755663e-124
ZFP36,228125.826255964,5.61321508032727,0.236653205016744,23.719159349353,2.28747202666471e-124,3.88229752365535e-121
SLC35B2,2671.20660577994,4.73999309872672,0.206618813248404,22.9407623836662,1.82208878349215e-116,2.81131734849353e-113
ICAM1,130172.537358869,5.3261088720384,0.269978197494253,19.7279221858342,1.24170026774088e-86,1.7561780786748497e-83
LINC00309,318.64802540663,5.01521165771472,0.256469888983705,19.5547776683966,3.75639164635763e-85,4.9041137709216595e-82
HCAR2,117809.200137172,4.07678966035575,0.209099698284484,19.4968701236919,1.1670936403803999e-84,1.41485094746687e-81
LOC101929319,874.949602954654,4.32712654004166,0.228227788270207,18.9596830992316,3.67350740884648e-80,4.15645118286283e-77
LOC100506860,813.454961427778,4.52850808088048,0.244573598846577,18.5159318186312,1.53615535597337e-76,1.62947679384875e-73
HCAR3,167334.844333616,4.5855597100372,0.248654624616771,18.4414817021984,6.10452534391362e-76,6.094470831582471e-73
C1orf74,1148.97144874461,-4.77796511635379,0.26532695829623,-18.0078388831463,1.69102905512931e-72,1.5944525068697e-69
PPP1R15B,48111.8621047935,3.23741149113256,0.180220027720337,17.9636610430243,3.75222933187522e-72,3.3517282221361197e-69
CCL20,566.062382411689,7.53649452040406,0.426468138121317,17.6718817813774,6.90544806139519e-70,5.8599632248999603e-67
PPP1R15A,144358.502997098,4.28928213534532,0.243111833151795,17.6432470593365,1.14677821682502e-69,9.268152331406771e-67
PDE4B,210479.624635389,3.5749471267491,0.20373386885019,17.5471419991431,6.25493642486062e-69,4.82539913648793e-66
CHP2,898.541713455081,4.96689074097134,0.285491325779564,17.3976940539567,8.58916163367871e-68,6.33805440203457e-65
