,UT_1,UT_2,UT_3,UT_5,UT_6,GMCSF_1,GMCSF_2,GMCSF_4,TNF_1,TNF_2,TNF_4,GMT_1,GMT_2,GMT_3
EGR1,4774.54976927527,1940.76024297107,5009.47767401187,16051.9255555119,4774.54976927527,244149.280864689,111863.661316343,277558.251356591,5311.32308942016,3466.75342571061,35964.7814157611,263263.675110631,227453.904193854,86329.4812278561
LOC101928254,45.6230347708064,32.1475623068827,53.8384253892802,48.7604056971807,45.6230347708064,33.9449003278118,69.0978501979779,61.8662242858314,50.5412431854319,71.6611179154006,67.8580781429454,125.954522555532,47.5148008556863,120.870747372171
ADARB2,16.8606867631241,23.8130091162094,38.8137485364578,754.456459060014,16.8606867631241,30.4333589145899,46.0652334653186,753.550895809389,40.4329945483455,34.0684003204363,782.064350597446,360.842686240173,64.0897313867396,58.8019852080832
NOS1,64.4673317413569,80.9642309951121,113.93713280057,103.726681210366,64.4673317413569,120.562921853952,142.514316033329,144.01645653423,161.731978193382,144.497008255644,156.073579728774,245.951736611816,322.106149986803,294.009926040416
C6orf25,220.180733024327,220.270334324937,416.934782665821,773.960621338887,220.180733024327,397.974693498484,480.805874294263,742.394691429977,320.094540174402,433.491024766931,881.306789881503,445.947093372289,543.65772141855,828.127958347171
GPR1,109.09856140845,101.20528874389,192.816686277887,159.57950955441,109.09856140845,129.927032289211,181.381856769692,183.570272061237,171.840226830468,203.235629497775,193.395522707394,211.058929687648,311.608693983803,279.309429738395
TMEM253,11.9016612445582,21.4317082045885,112.685076396168,257.100320948771,11.9016612445582,76.0833972864748,107.96539093434,317.444724614184,26.955329698897,111.60338036005,268.039408664634,90.2106715600433,93.9246063426356,96.3699202021363
HMGN5,208.279071779769,29.7662613952618,53.8384253892802,23.0503736023036,208.279071779769,139.291142724469,18.7140010952857,9.12780358315546,146.008035869025,46.9908969937053,18.66097148931,26.382366210956,16.5749305310533,29.4009926040416
PPP1R35,176.541308460947,313.736395106059,364.348413680943,679.099468437099,176.541308460947,654.317216663683,545.585108854867,907.709356324904,195.426140317003,260.799478315064,810.904033808197,813.598132183032,672.389681876397,457.348773840647
LOC100129520,0.0,0.0,10.0164512352149,1.77310566171566,0.0,9.36411043525844,77.7350814727252,5.07100199064192,0.0,10.5729518235837,5.0893558607209,7.65939664189047,3.86748379057911,26.134215648037
LINC00330,110.090366512163,108.944516706658,182.800235042672,169.331590693846,110.090366512163,209.521970988908,241.842475692923,299.189117447873,208.903805166452,292.518333785816,283.307476246797,189.782827904619,275.696344499854,506.350428180716
SFR1,89.2624593341865,101.800613971795,125.205640440187,127.663607643528,89.2624593341865,140.461656528877,146.832931670703,144.01645653423,307.740014062407,223.2067607201,246.833759244964,214.463105972933,228.734041328536,160.072070844226
SEMG1,320.353048499358,63.6997993858603,181.548178638271,70.0376736377687,320.353048499358,74.9128834820675,30.2303094616153,42.5964167213921,270.676435726424,178.56540857608,72.0992080268795,62.977261277766,6.07747452805289,39.2013234720554
PDE6A,289.60709028425,329.214851031596,472.025264459503,508.881324912395,289.60709028425,488.104256437846,653.550499789208,565.923822155638,488.565350792508,684.892323683255,644.651742357981,873.171217175513,876.813825092722,1354.07904826392
LINC00176,5.9508306222791,6.5485775069576,7.5123384264112,12.4117396320096,5.9508306222791,12.8756518484804,21.5930781868681,23.3266091569528,5.61569368727021,10.5729518235837,13.5716156285891,21.2761017830291,28.1773819027907,31.0343810820439
