,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NFKBIA,120420.404741468,3.8645406976828,0.138329579558989,27.9371968743302,9.4321479544209e-172,1.40661622444279e-167
KCNJ2,23889.3597738935,4.36268104773773,0.165933301414392,26.291775132242,2.3814877049558004e-152,1.7757563072003e-148
IL1RN,231523.983057724,5.31507833890552,0.219969006404677,24.1628510569684,5.47109158095774e-129,2.71967962489409e-125
SLC35B2,2671.20660577994,4.34061584723599,0.209051184517043,20.7634118757271,9.2742577327851e-96,3.4576751392256e-92
NFKBIE,4940.68103090202,4.21614886120172,0.215346674923862,19.5784256371379,2.3620882700345902e-85,7.04516447420515e-82
TNFAIP3,205719.242112942,4.20483939152333,0.217549014573922,19.3282392005253,3.1084672407505097e-83,7.72609532688539e-80
NFKBIZ,60696.3788881226,3.39368808455653,0.179624799676128,18.8932045612605,1.2972637697388e-79,2.7637277997306804e-76
CCL20,566.062382411689,6.75573625933412,0.38897575544561,17.3680137251607,1.4412938097545202e-67,2.68675182310865e-64
PRDM7,530.382954794414,3.37125906401672,0.195161902419624,17.2741658193517,7.363031981390881e-67,1.22005439931647e-63
CD83,7401.72560978144,2.99722408884882,0.174371877187104,17.1886896969787,3.22744228412387e-66,4.81308467831393e-63
LOC101929319,874.949602954654,3.84927689778012,0.229217616146609,16.793111116373,2.74092424766005e-63,3.71594575503221e-60
GPR84,4472.9944522972,6.15807486384335,0.389719527659426,15.8012992082472,3.04770112803148e-56,3.78753057686113e-53
RFX5,1004.66681553511,1.83122707641278,0.121361317648565,15.0890507114928,1.9117296623182e-51,2.19304803493472e-48
TNFAIP6,12327.0548094162,3.59972912857624,0.239722577087196,15.0162290607567,5.74863547351348e-51,6.12352862975046e-48
PPP1R15A,144358.502997098,3.66841307927818,0.245983182316641,14.9132678288389,2.70198454387009e-50,2.68631303351564e-47
CCL4L2,1657.62052069326,6.05794466810202,0.422310228491715,14.3447737217685,1.1487433714982e-46,1.07070061869704e-43
